City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
122,richards bay,-28.783,32.0377,22.09,86,98,3.24,ZA,1743066262
123,guankou,28.15,113.6333,21.45,48,30,7.22,CN,1743066263
124,port elizabeth,-33.918,25.5701,23.39,83,100,1.79,ZA,1743066015
125,balcesti,44.6167,23.95,13.47,85,100,7.69,RO,1743066265
126,ceerigaabo,10.6162,47.368,23.72,34,7,2.19,SO,1743066267
127,boguchany,58.3814,97.4531,-3.48,69,100,3.78,RU,1743066268
128,nova sintra,14.8667,-24.7167,20.63,77,2,12.44,CV,1743066269
129,yuzhno-kurilsk,44.0306,145.8556,-1.1,94,100,3.69,RU,1743066270
130,benjamin constant,-4.3831,-70.0311,22.68,100,100,0.39,BR,1743066271
131,bandarbeyla,9.4942,50.8122,28.43,61,1,7.59,SO,1743066272
132,seosan,36.7817,126.4522,15.06,49,100,8.63,KR,1743066246
133,bilibino,68.0546,166.4372,-18.89,97,83,1.76,RU,1743066275
134,east london,-33.0153,27.9116,22.65,63,6,3.14,ZA,1743066276
135,yukhnov,54.7444,35.2297,4.87,93,100,2.69,RU,1743066277
136,berezovyy,51.6667,135.7,-6.1,94,100,1.47,RU,1743066278
137,kill devil hills,36.0307,-75.676,4.69,71,0,0.0,US,1743066279
138,ironwood,46.4547,-90.171,1.0,85,0,2.06,US,1743066281
139,punta arenas,-53.15,-70.9167,7.06,87,0,3.09,CL,1743066282
140,udachny,66.4167,112.4,-13.9,79,98,3.08,RU,1743066283
141,staroshcherbinovskaya,46.6311,38.6742,17.43,52,100,4.0,RU,1743066284
142,san carlos,9.6612,-68.5827,24.07,71,100,0.72,VE,1743066201
143,kirs,59.3388,52.2447,3.0,96,100,4.51,RU,1743066287
144,mount pearl,47.5166,-52.7813,0.74,96,100,7.72,CA,1743066288
145,yarmouth,41.7057,-70.2286,0.51,72,0,8.94,US,1743066289
146,isoka,-10.1606,32.6335,21.29,84,100,1.82,ZM,1743066290
147,uturoa,-16.7333,-151.4333,28.31,75,10,3.05,PF,1743066291
148,male,4.1748,73.5089,28.61,73,75,3.09,MV,1743066292
149,kavalerovo,44.2661,135.0572,1.65,99,100,1.18,RU,1743066294
150,bathsheba,13.2167,-59.5167,25.27,77,40,10.8,BB,1743066295
151,severo-yeniseyskiy,60.3725,93.0408,-5.61,93,100,4.34,RU,1743066296
152,hirara,24.8,125.2833,24.61,91,1,9.3,JP,1743066298
153,san mariano,7.5,126.0,28.24,85,62,1.69,PH,1743066300
154,kodiak,57.79,-152.4072,2.73,93,100,6.69,US,1743066302
155,raducaneni,46.95,27.9333,10.47,83,100,1.62,RO,1743066303
156,ribeira grande,38.5167,-28.7,12.97,72,40,3.6,PT,1743066306
157,lazaro cardenas,17.9583,-102.2,21.0,72,0,2.14,MX,1743066307
158,pago pago,-14.2781,-170.7025,27.55,83,40,0.51,AS,1743066308
159,bethel,41.3712,-73.414,-1.87,64,0,1.54,US,1743066309
160,kozyatyn,49.7143,28.8339,11.88,49,88,3.0,UA,1743066310
161,stanley,54.868,-1.6985,10.07,81,20,4.63,GB,1743066312
162,al burayqah,30.4062,19.5739,17.62,77,95,10.63,LY,1743066313
163,barra de santo antonio,-9.4047,-35.5072,26.31,85,100,2.59,BR,1743066314
164,nemuro,43.3236,145.575,-0.67,93,100,4.38,JP,1743066315
165,high springs,29.8269,-82.5968,12.86,80,20,2.14,US,1743066316
166,codrington,-38.2667,141.9667,16.2,85,0,4.89,AU,1743066317
167,noumea,-22.2763,166.4572,25.14,82,96,6.11,NC,1743066319
168,sittwe,20.15,92.9,28.25,68,94,7.35,MM,1743066320
169,mega,4.05,38.3,23.03,48,56,7.17,ET,1743066321
170,bignona,12.8103,-16.2264,25.91,24,91,4.38,SN,1743066322
171,aktau,43.65,51.2,9.36,66,100,3.16,KZ,1743066157
172,salekhard,66.53,66.6019,0.92,100,86,6.07,RU,1743066324
173,tallulah,32.4085,-91.1868,14.15,85,20,1.54,US,1743066326
174,ailuk,10.2197,169.9797,26.97,78,100,6.33,MH,1743066327
175,tynda,55.1667,124.7167,-10.79,72,100,4.09,RU,1743066328
176,lebu,-37.6167,-73.65,12.01,87,96,1.89,CL,1743066329
177,gallup,35.5281,-108.7426,6.16,45,0,1.54,US,1743066330
178,queenstown,-31.8976,26.8753,20.24,46,5,2.24,ZA,1743066038
179,crane,31.3974,-102.3501,16.29,77,100,7.43,US,1743066333
180,wynyard,-41.0,145.7167,16.35,84,5,2.24,AU,1743066335
181,tazacorte,28.629,-17.9293,17.43,65,40,3.6,ES,1743066336
182,rantepao,-2.9701,119.8978,24.62,93,100,0.69,ID,1743066337
183,tongchuanshi,35.0806,109.0897,8.7,24,100,3.63,CN,1743066339
184,margaret river,-33.95,115.0667,28.22,41,100,2.52,AU,1743066340
185,kingston,17.997,-76.7936,22.89,71,4,1.7,JM,1743066341
186,nsanje,-16.92,35.262,28.58,69,58,1.36,MW,1743066342
187,fale old settlement,-9.3852,-171.2468,28.58,77,23,3.81,TK,1743066343
188,suva,-18.1416,178.4415,26.3,85,75,2.06,FJ,1743066344
189,talnakh,69.4865,88.3972,-8.17,94,100,6.36,RU,1743066346
190,mahina,-17.5065,-149.489,25.87,78,0,2.06,PF,1743066347
191,tual,-5.6667,132.75,28.79,75,90,2.7,ID,1743066348
192,porto novo,6.4965,2.6036,31.04,61,99,3.23,BJ,1743066349
193,walvis bay,-22.9575,14.5053,20.54,67,2,3.53,,1743066350
194,ust'-ilimsk,58.0006,102.6619,-6.34,77,100,4.11,RU,1743066351
195,kotlas,61.2611,46.6556,1.52,98,100,2.59,RU,1743066353
196,whitehorse,60.7161,-135.0538,-7.77,98,93,0.51,CA,1743066354
197,port saint john's,-31.6229,29.5448,23.71,65,79,2.89,ZA,1743066355
198,zhangye,38.9342,100.4517,-1.06,24,61,8.55,CN,1743066356
199,mossel bay,-34.1831,22.146,19.11,71,44,4.27,ZA,1743066357
200,sidi khaled,34.387,4.9879,16.39,34,0,4.32,DZ,1743066360
201,acapulco de juarez,16.8634,-99.8901,22.31,67,0,0.0,MX,1743066361
202,san julian,21.0167,-102.1667,13.34,32,1,2.19,MX,1743066362
